station,station_abbr,longitude,latitude
Martigny,MA,46.105831207174695,7.079124128489792
Charrat-Fully,CHAR,46.1268128793577,7.126476597938986
Riddes,RID,46.17251115006005,7.217854422172534
Chamoson-St-Pierre-de-Clages,CHA,46.18883638074541,7.24109904692585
Ardon,ARD,46.20859416924083,7.270946771764379
Sion,SIO,46.22755319639583,7.359197034574583
St-Léonard,SL,46.25148857523634,7.419568232874157
Sierre/Siders,SIE,46.29212156381739,7.5328255558154815
Châteauneuf-Conthey,CHF,46.21610868973704,7.305102199989555
Leuk,LK,46.31157951165381,7.644936502768724
Turtmann,TUR,46.30933141469968,7.699604967916513
Gampel-Steg,GA,46.30651548089095,7.74758116307051
Raron,RAR,46.30627441464491,7.80151060192852
Visp,VI,46.29402913539458,7.881465475745339
Brig,BR,46.319422705779964,7.988094739403513
Aarburg-Oftringen,ABO,47.320268469494984,7.908222606719325
Zofingen,ZF,47.288052535393795,7.943117673978095
Zofingen,ZF,47.288052535393795,7.943117673978095
Brittnau-Wikon,BRIT,47.262666154960485,7.9570408485077575
Reiden,REID,47.24146837211727,7.968774385627643
Dagmersellen,DAG,47.21755794081276,7.979025922465623
Nebikon,NEB,47.19238062097445,7.977449481598889
Wauwil,WAU,47.183858974751004,8.019020059353005
Sursee,SS,47.17079504092787,8.097893864664293
Nottwil,NO,47.138811747699776,8.138601024847398
Sempach-Neuenkirch,SEM,47.11605321160834,8.195979058194569
St Erhard-Knutwil,STER,47.180081911855495,8.074581534713914
Oberkirch LU,OBK,47.155237622368205,8.114234459651351
Emmenbrücke Kapf,RBGD,47.09090997877407,8.2731905924685
Waldibrücke,WAB,47.10789934285905,8.31971009182164
Rothenburg Station,RBG,47.08918367453321,8.24756144538213
Emmenbrücke,EBR,47.07060149966679,8.282565368005681
Eschenbach LU,ESB,47.132395999827786,8.322790731804623
Ballwil,BLL,47.15376765531005,8.316898802052265
Hochdorf,HO,47.166975188716584,8.28869962431495
Baldegg,BLG,47.18568895916548,8.280231508343205
Hitzkirch,HIK,47.222672734803474,8.252001025629596
Mosen,MO,47.24429231495193,8.224159651309773
Seon,SE,47.346148956523685,8.158807389779959
Boniswil,BONI,47.31503873659603,8.18456054926069
Birrwil,BWL,47.28785660045185,8.199017331886745
Beinwil am See,BW,47.26721985887334,8.202235544537361
Safenwil,SAF,47.32175790242047,7.9835182353423395
Kölliken,KK,47.33730018640878,8.026460544487298
Oberentfelden,OEF,47.35648639544809,8.048387123619497
Hunzenschwil,HU,47.388285886161526,8.12569323096962
Othmarsingen,OTH,47.40743350791063,8.21480549444199
Mägenwil,MAEG,47.414508168243245,8.235155222397673
Dulliken,DU,47.35427613722317,7.946501331157318
Däniken SO,DK,47.356390087528396,7.978771344745683
Schönenwerd SO,SCOE,47.371423870608545,8.00015839874455
Aarau,AA,47.39135951416971,8.0512737187007
Rupperswil,RU,47.40329025074811,8.126956365312209
Wildegg,WI,47.41527514474883,8.16301990850753
Schinznach Bad,SBAD,47.45178516429141,8.166948608446923
Lenzburg,LB,47.391199755440326,8.170392889345154
Küngoldingen,KGD,47.30214150681229,7.941796671018059
Ebikon,EBI,47.08426271807688,8.342358256170456
Gisikon-Root,GSK,47.12132766775892,8.394788526650434
Rotkreuz,RK,47.14176416722354,8.430495263903849
Cham,CHAM,47.1782438774083,8.457504763732405
Zug,ZG,47.17370697768496,8.51504934096482
Zug,ZG,47.17370697768496,8.51504934096482
Zug,ZG,47.17370697768496,8.51504934096482
Baar,BAA,47.19536403756796,8.523271537389256
Horgen Oberdorf,HGO,47.258749814697936,8.589815820934769
Oberrieden Dorf,ORDD,47.27673178897796,8.577652787968216
Hendschiken,HDK,47.38943108161424,8.20738869936813
Dottikon-Dintikon,DOT,47.37364655615525,8.234710266072675
Wohlen AG,WO,47.348464035951935,8.269792338707036
Boswil-Bünzen,BOS,47.30518168341713,8.315283587648395
Muri AG,MI,47.27666623020341,8.339820727262998
Benzenschwil,BNZ,47.24685150439806,8.365616894910618
Mühlau,MUEH,47.22501998719302,8.388524027482994
Sins,SINS,47.1883142367146,8.397830915000554
Oberrüti,OI,47.16592617211497,8.404779458848669
Urdorf,URD,47.390883336893495,8.434730698035924
Birmensdorf ZH,BIR,47.35743137498617,8.437555140807286
Bonstetten-Wettswil,BON,47.32590133192644,8.468196900433204
Hedingen,HED,47.29878522811595,8.44596555338124
Affoltern am Albis,AF,47.27607036243421,8.446594995016909
Mettmenstetten,MTM,47.2440710650527,8.457382179226352
Knonau,KNO,47.22026434550527,8.466731190077962
Steinhausen,STE,47.19458148019285,8.478436559235814
Lupfig,LUPF,47.44518418800193,8.21498985710163
Birr,BIRR,47.43584669605571,8.217664818356512
Zürich Tiefenbrunnen,ZTB,47.350124682619324,8.56138984970763
Zürich Seebach,ZSEB,47.41875004709653,8.544660215512566
Zollikon,ZK,47.337334596522645,8.569740625826567
Küsnacht ZH,KUES,47.31915662746151,8.580637816849848
Erlenbach ZH,ERLB,47.30579195922035,8.591522357247918
Herrliberg-Feldmeilen,HERL,47.2818266010794,8.612733422252322
Meilen,ML,47.26981115115029,8.644311911013785
Meilen,ML,47.26981115115029,8.644311911013785
Uetikon,UET,47.259030130406195,8.678787098505433
Männedorf,MAEN,47.25342402768333,8.692346117155438
Stäfa,STAE,47.24052719845643,8.721652869936191
Uerikon,UER,47.235860774724635,8.752625203056988
Feldbach,FB,47.239203561365535,8.783497766346061
Rapperswil SG,RW,47.224887212316844,8.816744887601098
Blumenau,BLU,47.22367068251929,8.84240509395636
Schmerikon,SCME,47.225160130574615,8.94338195257017
Uznach,UZ,47.22428279613721,8.980690813943994
Kaltbrunn,KAB,47.21798320842004,9.022431024029462
Benken SG,BNK,47.20445814635534,9.008654221852051
Jona,JO,47.23097664151271,8.834618052524483
Rüti ZH,RUE,47.26048380429481,8.854079463450587
Bubikon,BUB,47.27084101315197,8.822714839063496
Wetzikon ZH,WZ,47.31803163150587,8.792289733783823
Aathal,AAT,47.33595913383636,8.765625135347076
Uster,UST,47.350369009021115,8.71870915948662
Nänikon-Greifensee,NAEN,47.36936291677695,8.686413623154435
Schwerzenbach ZH,SCWE,47.38438582356478,8.65867361489504
Dübendorf,DUE,47.400080359945356,8.623421744230841
Wallisellen,WS,47.412723086152674,8.59192819966959
Hinwil,HI,47.300056950364905,8.839719894409955
Bauma,BMA,47.36883663689137,8.878233042229269
Steg,STG,47.3538524648946,8.932371768549121
Fischenthal,FI,47.33330268754067,8.923295885742595
Gibswil,GIB,47.31372010487754,8.915510558534958
Wald ZH,WL,47.2726905045605,8.913999753344827
Rüschlikon,RUES,47.307131874608906,8.555162654838009
Thalwil,TW,47.295981407178175,8.564769449072962
Oberrieden,ORD,47.27967632114838,8.578460587702462
Horgen,HG,47.261483374610194,8.59691699657137
Horgen,HG,47.261483374610194,8.59691699657137
Au ZH,AU,47.246817944423306,8.643725909034174
Richterswil,RI,47.208374997059,8.70748135503777
Richterswil,RI,47.208374997059,8.70748135503777
Pfäffikon SZ,PF,47.202997443126264,8.77812981894752
Altendorf,ALTD,47.19396706593199,8.822905848209773
Lachen SZ,LA,47.19006843185187,8.852715189418749
Siebnen-Wangen,SIB,47.182670697408795,8.900713603936849
Schübelbach-Buttikon,SCBU,47.17638983008542,8.938780973962697
Reichenburg,RG,47.172698217603205,8.98232264544185
Bilten,BIL,47.15219293595683,9.029918268569833
Ziegelbrücke,ZB,47.136155911589476,9.060051669978666
Nieder- und Oberurnen,NOU,47.12236168863988,9.06239375250379
Näfels-Mollis,NAEF,47.098719273673964,9.069956935022006
Glarus,GL,47.03992414359782,9.071566413357488
Mitlödi,MIT,47.01013161304222,9.081211940085185
Schwanden GL,SCHD,46.996852240250234,9.077465723832542
Nidfurn-Haslen,NID,46.98589452514193,9.059276456970128
Luchsingen-Hätzingen,LU,46.96507069223781,9.039022486840029
Diesbach-Betschwanden,DSB,46.946180806852425,9.024373381879249
Rüti GL,RUET,46.93454597370366,9.013038982472793
Linthal,LIN,46.92556359068008,8.99779486958079
Linthal,LIN,46.92556359068008,8.99779486958079
Linthal,LIN,46.92556359068008,8.99779486958079
Kempten,KN,47.33204311532852,8.804720692502976
Pfäffikon ZH,PFZ,47.367086237861606,8.784799698482086
Fehraltorf,FET,47.38512280519572,8.75028811504418
Illnau,IL,47.40881918966079,8.722727521427508
Effretikon,EF,47.42581205990935,8.686679144438356
Dietlikon,DTL,47.42020206400605,8.619276404555864
Bassersdorf,BSD,47.43857056159609,8.62622094430108
Kloten,KL,47.44860728556682,8.583809697460492
Glattbrugg,GLB,47.430826715628065,8.558854148745317
Rümlang,RUEM,47.45406560880622,8.53276732260377
Oberglatt ZH,OGL,47.47020461157625,8.510618836247723
Niederglatt ZH,NG,47.48747102012023,8.503315575552104
Niederhasli,NIE,47.47833088350438,8.488707408445823
Dielsdorf,DI,47.48242050548949,8.459443753213176
Steinmaur,STMR,47.48998675874221,8.446857774486466
Schöfflisdorf-Oberweningen,SCHO,47.49797136025533,8.4118123023122
Niederweningen Dorf,NWD,47.505913653937014,8.381073484393124
Niederweningen,NW,47.51120059646391,8.36963061177169
Opfikon,OP,47.42995484385166,8.561794794911755
Opfikon,OP,47.42995484385166,8.561794794911755
Bülach,BUE,47.52394992292479,8.53620919890506
Glattfelden,GF,47.54855798112091,8.524055190179888
Eglisau,EGL,47.57237454699676,8.516558015858315
Hüntwangen-Wil,HUEW,47.58126889887903,8.512848049738306
Rafz,RZ,47.60379679512016,8.543451411560936
Zweidlen,ZWD,47.570448159801316,8.467918937052124
Rekingen AG,REK,47.56997139138319,8.327125678610148
Bad Zurzach,ZZ,47.58831339399092,8.29558779477914
Neuhausen,NH,47.68313341196778,8.62493454562013
Schaffhausen,SH,47.698281514820806,8.632755780134843
Schaffhausen,SH,47.698281514820806,8.632755780134843
Schaffhausen,SH,47.698281514820806,8.632755780134843
Schaffhausen,SH,47.698281514820806,8.632755780134843
Schaffhausen,SH,47.698281514820806,8.632755780134843
Schaffhausen,SH,47.698281514820806,8.632755780134843
Döttingen,DOE,47.575269820383554,8.256364673275831
Siggenthal-Würenlingen,SIG,47.52068999386748,8.24065999620795
Turgi,TG,47.49175731953005,8.253458645708486
Baden,BD,47.47642428462206,8.307709474036757
Wettingen,WE,47.459638175929584,8.316006171449606
Killwangen-Spreitenbach,KLW,47.433328858368725,8.354214000604191
Dietikon,DT,47.40578380656617,8.404988187894768
Schlieren,SCHL,47.39917636823752,8.44724506333892
Glanzenberg,GLZB,47.398878725053954,8.420441876602169
Regensdorf-Watt,REG,47.43656352578822,8.472084926958399
Buchs-Dällikon,BUD,47.45340531179023,8.435601743967265
Otelfingen,OF,47.45493620253028,8.387532432091916
Würenlos,WUER,47.44575947163111,8.357667806321556
La Conversion,CVN,46.51308449748611,6.678323596771189
Grandvaux,GRV,46.496948240467255,6.722650186115821
Puidoux,PUI,46.49384122879205,6.765686484646688
Chexbres-Village,CHX,46.481057236035866,6.778537790555147
Vevey-Funi,VVFU,46.46827670459148,6.835443290340251
Châtillens,CHAT,46.57053302432062,6.815481520130106
Ecublens-Rue,ECU,46.610430239736765,6.811054981244531
Oron,OR,46.57254560973371,6.837104144003913
Villaz-St-Pierre,VZ,46.72058040504252,6.96064288147432
Chénens,CHE,46.74921078897314,7.000429644728209
Neyruz FR,NEY,46.766049061889554,7.065027432077675
Rosé,ROS,46.78263344943604,7.061968624353363
Matran,MTR,46.78893839520932,7.09632859382587
Corseaux-Cornalles,CORS,46.47045139363696,6.8247808029177985
Fribourg/Freiburg,FRI,46.803148172176094,7.151046883336624
Fribourg/Freiburg,FRI,46.803148172176094,7.151046883336624
Fribourg/Freiburg,FRI,46.803148172176094,7.151046883336624
Schmitten FR,SCMI,46.86294135797493,7.253920397818743
Thörishaus Station,THO,46.90462573785279,7.3570288047366885
Bern Bümpliz Süd,BNBS,46.93748747604266,7.3952379524965925
Wünnewil,WUE,46.87186094449211,7.2806541464273575
Thörishaus Dorf,THOD,46.89356923704146,7.351866624364698
Oberwangen,OWA,46.91457108567835,7.362195655252549
Moudon,MD,46.66805734102309,6.802507939012099
Lucens,LUC,46.70777137450949,6.842150233107703
Granges-Marnand,GM,46.75884492426049,6.894289728929804
Dompierre FR,DOP,46.85440276234431,6.9853688034773604
Domdidier,DOM,46.86851205897093,7.011382575288418
Galmiz,GZ,46.9508706261254,7.153207343830569
Yvonand,YND,46.80087548917571,6.746687333359222
Cheyres,CHS,46.81694583078504,6.786393706697191
Estavayer-le-Lac,EST,46.84449884868033,6.842967233408462
Cugy FR,CGY,46.81602827918348,6.889164589874838
Payerne,PAY,46.81964995917916,6.939884923199122
Corcelles-Sud,CS,46.82884737330354,6.957192176936629
Cousset,COUS,46.81860488055185,6.977491130713585
Grolley,GRO,46.83197884477911,7.066052544374658
Belfaux CFF,BF,46.81692461024257,7.10623013610596
Yverdon-les-Bains,YV,46.78154518698349,6.640944001506529
Grandson,GRS,46.806283383377256,6.641943740303494
Concise,CC,46.8508815437715,6.723157409168143
Vaumarcus,VAU,46.87764317367577,6.757579221523327
Gorgier-St-Aubin,GOR,46.8990761459923,6.781025965556293
Bevaix,BV,46.92969622607417,6.811680267875788
Boudry,BDR,46.959457087228266,6.835047623990484
Colombier NE,CLB,46.967652389504,6.848869743321683
Travers,TR,46.94241153500973,6.6765616558778955
Noiraigue,NOI,46.95491961211211,6.72179914436148
Champ-du-Moulin,CDM,46.959911756312046,6.774988965780057
Bôle,BOLE,46.96942291832483,6.838374496659213
Auvernier,AUV,46.97964166884432,6.877708044179968
Neuchâtel-Serrières,NESE,46.98396232537703,6.903362683573761
Neuchâtel,NE,46.99672679256174,6.9357016941248055
St-Blaise CFF,SBL,47.01457594594309,6.982110194954695
Cornaux NE,CORN,47.03857203125879,7.023365662392413
Cressier NE,CRNE,47.05195280516067,7.0395320722100125
Le Landeron,LD,47.05663638586609,7.06633533378295
La Neuveville,NV,47.06283278734381,7.095232412017962
Corcelles-Peseux,CP,46.98335097241855,6.883813554170522
Chambrelien,CHN,46.96710900772334,6.8122567654199875
Les Geneveys-sur-Coffrane,GEC,47.01509638874252,6.853217632174569
Les Hauts-Geneveys,HGV,47.04717656310448,6.874673129276451
Biel/Bienne,BI,47.13289787086162,7.242910603227559
Frinvillier-Taubenloch,FRIN,47.1694577965889,7.257529276223134
Reuchenette-Péry,REU,47.1897391014733,7.247024728889669
Sonceboz-Sombeval,SCB,47.195148357184415,7.168763578557156
Corgémont,COG,47.19339876795815,7.144661459670301
Cortébert,CO,47.18933714817648,7.107309204321052
Courtelary,CTY,47.17563154330835,7.0688032699813945
Cormoret,CORM,47.17294709932322,7.054123568207504
St-Imier,STI,47.15171108116466,7.001223887410891
Renan BE,RE,47.12572045673989,6.925382090474402
La Chaux-de-Fonds,CF,47.09837435548107,6.825982721046246
Le Locle,LOC,47.05786104193187,6.746153276317335
Fräschels,FRAE,46.99912608811557,7.206040061447466
Kallnach,KAL,47.0255233907035,7.23519647573374
Zollikofen,ZOL,47.001825935434994,7.4629111958221115
Münchenbuchsee,MUEB,47.02137578561044,7.451947669711058
Suberg-Grossaffoltern,SUB,47.05878211487249,7.339004854895136
Busswil BE,BUS,47.09868485098552,7.318622885644883
Brügg BE,BGG,47.12363952549155,7.278221991364599
Meggen,MEG,47.050147795802786,8.38306144387713
Küssnacht am Rigi,KUE,47.08359415522088,8.433517457319267
Immensee,IM,47.09161865910381,8.46267203624508
Arth-Goldau,GD,47.04904488341457,8.54944630066996
Steinen,STN,47.047668639262035,8.60744931425847
Schwyz,SCHW,47.02639719104311,8.632151708388978
Brunnen,BRU,46.999174913141175,8.610067661012486
Altdorf UR,AL,46.875738713277244,8.631575417442793
Erstfeld,ER,46.82033940886052,8.650454640226307
Göschenen,GOE,46.6658149394336,8.588808225484474
Airolo,AI,46.52752595779192,8.608619755602405
Airolo,AI,46.52752595779192,8.608619755602405
Airolo,AI,46.52752595779192,8.608619755602405
Airolo,AI,46.52752595779192,8.608619755602405
Faido,FA,46.483075504057076,8.790710106817196
Bodio TI,BO,46.380254520363714,8.906567985277537
Biasca,BIA,46.35198415240506,8.97417921685717
Castione-Arbedo,CAST,46.2229216531378,9.041461806217393
Bellinzona,BEL,46.195431792205675,9.029518512272924
Giubiasco,GIU,46.17381273153779,9.003600088956834
Rivera-Bironico,RIB,46.123976553136906,8.925286196548086
Mezzovico,MEZ,46.094275959945556,8.92859030457112
Taverne-Torricella,TAV,46.056685557435785,8.930330425943067
Lamone-Cadempino,LAM,46.03971861506991,8.932125023197237
Lugano,LG,46.00550054991465,8.94699530850776
Melide,MDE,45.95571350204005,8.948359195118208
Maroggia-Melano,MAR,45.932435076515645,8.973939801785004
Capolago-Riva S Vitale,CAP,45.90283729575292,8.978905257148648
Mendrisio,MEN,45.869108608030416,8.978610919620095
Balerna,BAL,45.84674505678699,9.005035609410806
Chiasso,CHI,45.83216802636672,9.031449562314267
Locarno,LO,46.172420189436444,8.801360899263416
Tenero,TEN,46.177467458686024,8.85022618523051
Gordola,GDA,46.179040272391426,8.865773290075774
Cadenazzo,CD,46.15261998873869,8.941698899788753
Magadino-Vira,MAG,46.145315717782154,8.850189043325265
S Nazzaro,SN,46.135157690407,8.807058681014864
Ranzo-S Abbondio,RZO,46.116997814178816,8.776537709454367
Riazzino,RIAZ,46.17533630314791,8.886397373657438
S Antonino,SAN,46.15904913855438,8.969520646035745
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur,W,47.500333810466714,8.72382105540869
Winterthur Grüze,WGR,47.49875471416027,8.75105520261809
Winterthur Seen,WSEE,47.487435419443585,8.766813490777576
Sennhof-Kyburg,SKY,47.46517688452585,8.76034626041623
Kollbrunn,KOL,47.45832420329366,8.77401693564809
Rikon,RN,47.44500981889408,8.796332149054088
Rämismühle-Zell,RMZ,47.44153899481295,8.819137324531859
Turbenthal,TU,47.43738455436948,8.843819888837624
Wila,WILA,47.41777446990602,8.84849088989105
Saland,SD,47.39421140867266,8.854221360632035
Sirnach,SIR,47.461997104077035,9.000474259335121
Eschlikon TG,ESL,47.461491059028035,8.958536201906604
Aadorf,AD,47.48811815646296,8.903301351691383
Elgg,EL,47.49852908812919,8.863411586209889
Räterschen,RAET,47.49868192254516,8.795017129519772
Oberwinterthur,OWT,47.507922332502815,8.760389196167752
Wiesendangen,WD,47.525543037265386,8.776038001272784
Rickenbach-Attikon,RIK,47.53535737473245,8.789175038519383
Islikon,ISL,47.54783491706919,8.846197030189854
Seuzach,SEU,47.53576697592631,8.738883430510043
Dinhard,DIH,47.553345147953856,8.75298088739014
Thalheim-Altikon,TLH,47.56962135084359,8.757643235847054
Ossingen,OSS,47.61461396494432,8.724116551791841
Stammheim,STM,47.6348812952966,8.788750140815177
Embrach-Rorbas,EMB,47.52059024023321,8.587068848734445
Pfungen,PFU,47.51603840485437,8.646633942248888
Winterthur Wülflingen,WWUE,47.506435849917644,8.680929544341401
Hettlingen,HET,47.5454414464659,8.694834153058261
Henggart,HGT,47.5642572437169,8.68507523532507
Andelfingen,AN,47.59376618474319,8.67800161121179
Marthalen,MTL,47.63137974671419,8.656062850654562
Dachsen,DA,47.66709049852088,8.613822740634536
Felben-Wellhausen,FEL,47.577102127286835,8.943174823204538
Hüttlingen-Mettendorf,HM,47.582343636106145,8.974555007577901
Müllheim-Wigoltingen,MUEL,47.58816457357496,9.015522055172228
Märstetten,MAER,47.582820556757,9.062193477505673
Weinfelden,WF,47.566224263227895,9.106368221990051
Bürglen TG,BGL,47.54909842868837,9.149876589208178
Erlen,ERL,47.55146027649119,9.226201980586525
Amriswil,AW,47.5504497212167,9.302227200925538
Romanshorn,RH,47.56552286486505,9.379371292262817
Romanshorn,RH,47.56552286486505,9.379371292262817
Romanshorn,RH,47.56552286486505,9.379371292262817
Romanshorn,RH,47.56552286486505,9.379371292262817
Romanshorn,RH,47.56552286486505,9.379371292262817
Romanshorn,RH,47.56552286486505,9.379371292262817
Romanshorn,RH,47.56552286486505,9.379371292262817
Romanshorn,RH,47.56552286486505,9.379371292262817
Dietfurt,DTF,47.34455188311114,9.078320289692623
Bütschwil,BUET,47.35959125215088,9.075151063623059
Lütisburg,LUET,47.38482629654424,9.071100494646764
Wil SG,WIL,47.46241324274365,9.040993050468307
Uzwil,UZW,47.43644399907944,9.130991819304693
Flawil,FLA,47.415189383739765,9.189785591411312
Gossau SG,GSS,47.41183157854834,9.253050693333575
Arnegg,ARN,47.44200164726959,9.252025001959556
Hauptwil,HPT,47.47686659343109,9.251591533796839
Kradolf,KRA,47.52472243740581,9.201575060489997
Sulgen,SLG,47.53880402551589,9.183694438911537
St Gallen Winkeln,SGWI,47.4039294110594,9.300860291345863
St Gallen Bruggen,SGBR,47.407202852071684,9.329654928146939
St Gallen,SG,47.42317894990205,9.369896662720434
St Gallen St Fiden,SGF,47.434540382472306,9.393443802223938
Mörschwil,MOER,47.47477145734554,9.414383541580694
